,Chart position,Track name,Artist name,Genre,Beats per minute,Energy,Danceability,Valence,Length
0,1,Señorita,Shawn mendes,Canadian pop,117,55,76,75,191
1,2,China,Anuel aa,Reggaeton flow,105,81,79,61,302
2,3,Boyfriend (with social house),Ariana grande,Dance pop,190,80,40,70,186
3,4,Beautiful people (feat. khalid),Ed sheeran,Pop,93,65,64,55,198
4,5,Goodbyes (feat. young thug),Post malone,Dfw rap,150,65,58,18,175
5,6,I don't care (with justin bieber),Ed sheeran,Pop,102,68,80,84,220
6,7,Ransom,Lil tecca,Trap music,180,64,75,23,131
7,8,How do you sleep?,Sam smith,Pop,111,68,48,35,202
8,9,Old town road - remix,Lil nas x,Country rap,136,62,88,64,157
9,10,Bad guy,Billie eilish,Electropop,135,43,70,56,194
10,11,Callaita,Bad bunny,Reggaeton,176,62,61,24,251
11,12,Loco contigo (feat. j. balvin & tyga),Dj snake,Dance pop,96,71,82,38,185
12,13,Someone you loved,Lewis capaldi,Pop,110,41,50,45,182
13,14,Otro trago - remix,Sech,Panamanian pop,176,79,73,76,288
14,15,Money in the grave (drake ft. rick ross),Drake,Canadian hip hop,101,50,83,10,205
15,16,No guidance (feat. drake),Chris brown,Dance pop,93,45,70,14,261
16,17,La canción,J balvin,Latin,176,65,75,43,243
17,18,Sunflower - spider-man: into the spider-verse,Post malone,Dfw rap,90,48,76,91,158
18,19,Lalala,Y2k,Canadian hip hop,130,39,84,50,161
19,20,Truth hurts,Lizzo,Escape room,158,62,72,41,173
20,21,Piece of your heart,Meduza,Pop house,124,74,68,63,153
21,22,Panini,Lil nas x,Country rap,154,59,70,48,115
22,23,No me conoce - remix,Jhay cortez,Reggaeton flow,92,79,81,58,309
23,24,Soltera - remix,Lunay,Latin,92,78,80,80,266
24,25,Bad guy (with justin bieber),Billie eilish,Electropop,135,45,67,68,195
25,26,If i can't have you,Shawn mendes,Canadian pop,124,82,69,87,191
26,27,Dance monkey,Tones and i,Australian pop,98,59,82,54,210
27,28,It's you,Ali gatie,Canadian hip hop,96,46,73,40,213
28,29,Con calma,Daddy yankee,Latin,94,86,74,66,193
29,30,Que pretendes,J balvin,Latin,93,79,64,94,222
30,31,Takeaway,The chainsmokers,Edm,85,51,29,36,210
31,32,7 rings,Ariana grande,Dance pop,140,32,78,33,179
32,33,0.958333333333333,Maluma,Reggaeton,96,71,78,68,176
33,34,The london (feat. j. cole & travis scott),Young thug,Atl hip hop,98,59,80,18,200
34,35,Never really over,Katy perry,Dance pop,100,88,77,39,224
35,36,Summer days (feat. macklemore & patrick stump of fall out boy),Martin garrix,Big room,114,72,66,32,164
36,37,Otro trago,Sech,Panamanian pop,176,70,75,62,226
37,38,Antisocial (with travis scott),Ed sheeran,Pop,152,82,72,91,162
38,39,Sucker,Jonas brothers,Boy band,138,73,84,95,181
39,40,"Fuck, i'm lonely (with anne-marie) - from “13 reasons why: season 3”",Lauv,Dance pop,95,56,81,68,199
40,41,Higher love,Kygo,Edm,104,68,69,40,228
41,42,You need to calm down,Taylor swift,Dance pop,85,68,77,73,171
42,43,Shallow,Lady gaga,Dance pop,96,39,57,32,216
43,44,Talk,Khalid,Pop,136,40,90,35,198
44,45,Con altura,Rosalía,R&b en espanol,98,69,88,75,162
45,46,One thing right,Marshmello,Brostep,88,62,66,44,182
46,47,Te robaré,Nicky jam,Latin,176,75,67,80,202
47,48,Happier,Marshmello,Brostep,100,79,69,67,214
48,49,Call you mine,The chainsmokers,Edm,104,70,59,50,218
49,50,Cross me (feat. chance the rapper & pnb rock),Ed sheeran,Pop,95,79,75,61,206
